"['00002', '2015-12', '56.6974', '-0.2609', '6.85', '620.0', '0.58', '0.5']","['00002', '2016-06', '61.7962', '8.5169', '9.44', '242.0', '0.6', '0.53']","['00002', '2016-12', '65.0911', '-7.6407', '7.28', '503.0', '0.62', '0.55']","['00002', '2017-06', '73.5089', '1.7718', '5.66', '234.0', '0.84', '0.74']","['00002', '2017-12', '73.963', '0.4807', '5.2', '564.0', '0.93', '0.76']","['00002', '2018-06', '76.4459', '5.0733', '6.23', '294.0', '0.94', '0.77']","['00002', '2018-12', '82.9262', '-2.4596', '8.6', '536.0', '0.85', '0.71']"
"['00003', '2015-12', '10.1427', '0.49', '4.85', '63.2', '1.02', '0.92']","['00003', '2016-06', '9.8613', '0.92', '5.44', '34.1', '1.14', '1.03']","['00003', '2016-12', '10.6881', '-0.72', '5.9', '57.7', '1.08', '0.98']","['00003', '2017-06', '12.034', '0.65', '5.4', '32.0', '0.96', '0.85']","['00003', '2017-12', '13.0134', '0.52', '4.21', '58.8', '0.76', '0.68']","['00003', '2018-06', '14.2417', '0.57', '6.68', '31.1', '0.76', '0.69']","['00003', '2018-12', '14.66', '0.68', '5.36', '60.5', '0.79', '0.69']"
"['00004', '2015-12', '36.0359', '-0.4483', '6.3', '529.0', '1.27', '0.54']","['00004', '2016-06', '34.9787', '5.3045', '9.69', '222.0', '0.98', '0.43']","['00004', '2016-12', '45.0873', '-4.4353', '8.73', '707.0', '1.09', '0.69']","['00004', '2017-06', '59.2808', '-1.8439', '7.72', '278.0', '1.06', '0.67']","['00004', '2017-12', '22.5778', '-39.9849', '16.88', '721.0', '1.95', '1.3']","['00004', '2018-06', '24.1212', '-0.7836', '8.86', '94.0', '1.31', '0.39']","['00004', '2018-12', '18.3903', '-0.8833', '6.2', '218.0', '1.46', '0.43']"
"['00006', '2015-12', '46.8674', '-1.26', '9.51', '362.0', '32.35', '32.35']","['00006', '2016-06', '47.071', '-4.34', '13.53', '163.0', '28.11', '28.11']","['00006', '2016-12', '47.8243', '-5.12', '8.04', '301.0', '23.43', '23.43']","['00006', '2017-06', '50.4737', '3.0', '10.17', '189.0', '14.41', '14.41']","['00006', '2017-12', '56.6071', '-1.48', '5.94', '390.0', '3.74', '3.74']","['00006', '2018-06', '53.2615', '-6.84', '13.52', '193.0', '2.12', '2.12']","['00006', '2018-12', '51.35', '0.0', '8.15', '358.0', '1.34', '1.34']"
"['00007', '2015-12', '0.56', '0.15', '10.39', '-2.25', '1.78', '1.78']","['00007', '2016-06', '0.5', '-0.08', '5.71', '-0.95', '1.68', '1.66']","['00007', '2016-12', '0.65', '-0.03', '5.8', '-0.26', '1.54', '1.41']","['00007', '2017-06', '0.78', '0.07', '6.24', '6.33', '1.86', '1.54']","['00007', '2017-12', '0.84', '0.0', '2.28', '0.46', '1.84', '1.84']","['00007', '2018-06', '1.0', '0.04', '6.45', '108.2', '3.31', '1.51']","['00007', '2018-12', '0.85', '-0.09', '4.33', '4.55', '0.0', '0.0']"
"['00008', '2015-12', '3.3459', '0.48', '6.36', '30.58', '1.15', '1.11']","['00008', '2016-06', '4.1845', '0.29', '6.68', '11.4', '1.26', '1.19']","['00008', '2016-12', '3.6558', '-0.5', '8.12', '26.79', '1.46', '1.39']","['00008', '2017-06', '3.9781', '-0.16', '6.9', '16.79', '1.93', '1.93']","['00008', '2017-12', '3.9346', '0.3', '6.44', '29.15', '1.73', '1.67']","['00008', '2018-06', '4.2157', '0.09', '6.71', '2.4', '1.0', '0.95']","['00008', '2018-12', '4.19', '-0.05', '7.6', '11.63', '1.47', '1.33']"
"['00009', '2015-12', '0.76', '0.57', '34.98', '-42.34', '2.58', '0.27']","['00009', '2016-06', '0.24', '-0.56', '86.14', '-1.33', '2.36', '0.11']","['00009', '2016-12', '0.325', '0.14', '62.96', '-14.54', '1.88', '0.13']","['00009', '2017-06', '0.29', '-0.15', '30.51', '-8.93', '1.32', '0.13']","['00009', '2017-12', '0.235', '0.02', '11.69', '-14.65', '1.68', '0.2']","['00009', '2018-06', '0.28', '-0.02', '10.85', '-2.12', '1.49', '0.26']","['00009', '2018-12', '0.236', '0.01', '3.56', '-10.84', '0.0', '0.0']"
"['00010', '2015-12', '21.968', '-1.03', '5.35', '237.0', '2.51', '2.24']","['00010', '2016-06', '18.756', '1.44', '6.06', '132.0', '3.06', '2.78']","['00010', '2016-12', '24.6182', '-2.33', '15.09', '273.0', '3.71', '3.43']","['00010', '2017-06', '29.3114', '-0.22', '3.36', '176.0', '2.5', '2.32']","['00010', '2017-12', '25.2079', '0.65', '3.71', '390.0', '2.12', '1.97']","['00010', '2018-06', '21.5037', '-2.97', '6.3', '223.0', '1.52', '1.41']","['00010', '2018-12', '19.12', '-0.86', '6.98', '388.0', '1.47', '1.24']"
"['00012', '2015-12', '31.2316', '0.96', '4.58', '646.0', '3.38', '0.86']","['00012', '2016-06', '29.6667', '0.93', '5.46', '237.0', '2.85', '0.84']","['00012', '2016-12', '31.0936', '-3.67', '4.06', '603.0', '2.62', '0.91']","['00012', '2017-06', '37.1191', '0.61', '4.58', '354.0', '2.52', '0.94']","['00012', '2017-12', '41.8363', '-0.23', '5.75', '761.0', '2.4', '0.92']","['00012', '2018-06', '40.7006', '-3.84', '5.32', '342.0', '2.59', '0.77']","['00012', '2018-12', '36.15', '-0.35', '4.29', '708.0', '2.15', '0.59']"
"['00014', '2015-12', '27.3748', '-0.38', '5.05', '273.17', '2.34', '2.34']","['00014', '2016-06', '28.1253', '1.28', '5.83', '85.78', '2.38', '2.38']","['00014', '2016-12', '28.9121', '-3.91', '7.13', '116.35', '1.48', '1.48']","['00014', '2017-06', '32.9444', '1.89', '5.68', '71.36', '1.98', '1.98']","['00014', '2017-12', '34.12', '4.39', '5.34', '347.78', '1.93', '1.93']","['00014', '2018-06', '39.3494', '2.23', '5.24', '288.06', '1.24', '1.24']","['00014', '2018-12', '34.9983', '-2.39', '5.05', '576.66', '1.77', '1.77']"
