股票代码,时间,收盘价,涨跌幅,换手率
00002,2019-03,85.4913,3.6469,6.68
00002,2018-12,82.9262,-2.4596,8.6
00002,2018-09,81.1607,7.5777,8.18
00002,2018-06,76.4459,5.0733,6.23
00002,2018-03,71.4864,1.0736,7.92
00002,2017-12,73.963,0.4807,5.2
00002,2017-09,75.2609,-1.8764,5.61
00002,2017-06,73.5089,1.7718,5.66
00002,2017-03,66.0565,10.2237,6.66
00002,2016-12,65.0911,-7.6407,7.28
00002,2016-09,70.9772,1.5386,7.4
00002,2016-06,61.7962,8.5169,9.44
00002,2016-03,55.1926,4.7681,7.26
00002,2015-12,56.6974,-0.2609,6.85
00002,2015-09,54.1273,0.229,7.79
00002,2015-06,55.6502,-1.6042,8.12
00002,2015-03,55.4563,0.4146,6.26
00002,2014-12,52.1169,4.1448,5.7
00003,2019-03,16.0,2.62,5.32
00003,2018-12,14.66,0.68,5.36
00003,2018-09,14.7658,0.76,5.36
00003,2018-06,14.2417,0.57,6.68
00003,2018-03,13.0312,0.69,6.0
00003,2017-12,13.0134,0.52,4.21
00003,2017-09,12.7147,0.1,4.39
00003,2017-06,12.034,0.65,5.4
00003,2017-03,10.8147,1.48,4.75
00003,2016-12,10.6881,-0.72,5.9
00003,2016-09,10.8998,0.49,4.67
00003,2016-06,9.8613,0.92,5.44
00003,2016-03,9.2283,-0.49,5.25
00003,2015-12,10.1427,0.49,4.85
00003,2015-09,9.978,-1.24,6.84
00003,2015-06,10.9688,-0.01,7.71
00003,2015-03,10.7257,0.1,5.09
00003,2014-12,10.3373,0.61,5.12
00004,2019-03,19.5311,3.2447,5.98
00004,2018-12,18.3903,-0.8833,6.2
00004,2018-09,20.8489,-3.5624,7.26
00004,2018-06,24.1212,-0.7836,8.86
00004,2018-03,24.9717,-0.0432,19.59
00004,2017-12,22.5778,-39.9849,16.88
00004,2017-09,59.1881,4.509,9.22
00004,2017-06,59.2808,-1.8439,7.72
00004,2017-03,46.9905,15.145,8.58
00004,2016-12,45.0873,-4.4353,8.73
00004,2016-09,41.1673,9.0719,11.28
